,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30
20170430-DSC04672.jpg,-0.14835446,-0.031185843,-0.05861014,-0.07152437,0.05929303,0.021014957,0.112384446,0.06468652,0.00974299,0.05765645,-0.031231033,-0.16519453,-0.021934897,-0.061613087,0.040157247,0.061876826,0.024040794,0.0010218888,0.02148301,0.0027245092,0.023891822,0.006731726,0.070675164,-0.0057819244,-0.0040132087,-0.0020822221,-0.06736107,0.0641625,0.04384134,0.051095586
20170716-DSC08368.jpg,-0.085573405,-0.059775528,-0.03091665,-0.0034868098,0.005278887,0.053751998,-0.06511477,0.0066670356,0.0707851,0.022320598,0.005431916,0.057561263,0.11679221,0.037677795,-0.06517837,-0.009497195,0.057736073,0.0047347345,0.057371367,-0.043924358,-0.053065237,0.009729643,-0.027851995,0.024846625,0.055969227,0.049226135,-0.00012697768,-0.008222064,-0.02550242,-0.032540515
20180405-DSC01342.jpg,0.06519971,0.017639106,-0.011954078,0.10126863,-0.0082864575,-0.1325845,-0.27290076,-0.10441175,-0.029145995,0.0781498,0.09822147,-0.16489671,-0.011209324,-0.02012569,0.0048295693,0.02996948,0.035036243,-0.036643602,-0.00028545596,0.09151371,-0.027776083,-0.006765303,-0.020778105,-0.061580673,-0.015343832,0.015228708,0.011290131,-0.03823091,0.037119623,0.06706896
20180407-20180407-DSC01662.jpg,0.102817215,0.61827755,0.30373713,-0.084514745,0.12273133,0.0012638271,-0.021405322,-0.10770856,-0.03635179,-0.46210447,0.0049940245,-0.14050423,-0.057527207,-0.024950556,-0.029381227,0.06196317,0.05817168,-0.021405656,-0.14360039,0.03913434,0.1012443,-0.0057769455,-0.023299512,0.045431443,0.15025695,-0.09214112,-0.08514349,-0.13780503,0.094883956,0.19549133
20180407-DSC01647.jpg,0.6121801,1.0996304,0.36441317,-0.19938545,-0.108237684,0.10954275,0.20091335,0.17452353,0.41394818,0.91176,-0.21065684,-0.34699595,-0.16971594,0.49111497,0.03460147,-0.33787477,-0.23742548,-0.050596595,0.13213813,-0.008044991,-0.058748454,0.057290964,0.07530121,-0.050671954,-0.032249667,-0.04970999,0.01689338,-0.024567615,-0.08625756,-0.11425945
20180407-DSC01675.jpg,0.06722734,0.105690345,0.02978352,0.32458994,-0.00068876427,-0.02981074,-0.29958427,0.01356598,0.0029037404,-0.20308472,0.03366716,0.026043033,0.06687376,0.11299805,-0.10194057,-0.10605112,0.07030161,-0.22731236,0.26700085,-0.1318772,-0.07737157,0.13389535,-0.1328787,-0.041390862,-0.27864444,0.22437464,-0.00923991,-0.088081054,0.020968232,-0.07331902
20180407-DSC01687.jpg,0.5027504,0.46846822,0.13442616,0.14620343,0.043031894,-0.25598264,-0.40358436,-0.42043915,-0.12938617,0.16923681,-0.1321277,0.28774527,-0.25585595,0.094996065,0.6303942,0.47248942,0.67226744,0.115621656,-0.08966282,-0.18167892,-0.10356939,-0.032024764,0.19210058,0.19570592,0.049613312,0.17584541,-0.01179491,0.00736953,-0.08290523,0.09688674
20180407-DSC01689.jpg,0.2140949,0.7244432,0.39622128,-0.18915974,0.11138703,0.018845053,0.054713335,-0.102551706,0.11218765,-0.82752544,0.17126262,-0.37906232,0.002889324,0.14113426,-0.15245765,-0.0696334,0.14482124,0.15870467,-0.2517743,-0.04920896,0.37325108,0.082188785,-0.20994963,0.12673867,0.041537978,-0.04758303,0.011961687,-0.14382829,0.05627965,-0.14947487
20180407-DSC01703.jpg,0.039084114,-0.019312466,-0.033643536,0.04259503,-0.11604513,-0.06054446,-0.116336234,-0.14648697,-0.038273998,0.0058442065,0.021309314,0.033772055,-0.10372208,-0.09568171,-0.0075765434,-0.027280474,-0.006870921,0.027832922,-0.052371297,0.015466241,-0.013370725,-0.07515581,0.010099504,-0.028759833,-0.045522146,-0.0042315754,0.006119742,-0.024597572,-0.046343222,-0.015782887
20180408-DSC01768.jpg,-0.006051785,0.13964126,0.04726628,0.13176496,0.17453615,0.0700424,-0.18408884,0.2180828,-0.03348567,-0.17229857,-0.2855595,0.42370534,-0.082878865,0.12631927,-0.018920971,0.029146483,0.037797403,-0.09708589,0.4365796,0.08553342,-0.26923406,0.3762413,-0.09372553,-0.007395566,-0.13873933,-0.046402246,0.01853871,-0.20774817,0.3569982,-0.1510552
